학기,그룹명,주차,파일버전,분기시간,세션
24-1,A2,W1,없음,0:27:31,2
24-1,A2,W2,(1),0:35:59,2
24-1,A2,W3,없음,0:33:23,2
24-1,A2,W4,없음,0:33:34,2
24-1,A2,W5,없음,0:28:37,2
24-1,A2,W6,없음,0:30:48,2
24-1,A2,W7,없음,0:37:18,2
24-1,A3,W1,없음,0:30:59,2
24-1,A3,W2,없음,0:33:22,2
24-1,A3,W3,없음,0:39:26,2
24-1,A3,W4,없음,0:36:12,2
24-1,A3,W5,없음,0:30:53,2
24-1,A3,W6,없음,0:28:27,2
24-1,A3,W7,없음,0:28:44,2
24-1,A4,W1,없음,0:43:19,2
24-1,A4,W2,없음,0:25:09,2
24-1,A4,W3,없음,0:25:43,2
24-1,A4,W4,없음,0:39:41,2
24-1,A4,W5,없음,0:34:45,2
24-1,A4,W6,없음,0:29:34,2
24-1,A4,W7,없음,0:33:47,2
24-1,A5,W1,없음,0:34:00,2
24-1,A5,W2,없음,0:30:00,2
24-1,A5,W3,없음,0:32:02,2
24-1,A5,W4,없음,0:30:04,2
24-1,A5,W5,없음,0:25:16,2
24-1,A5,W6,없음,0:29:15,2
24-1,A5,W7,없음,0:26:19,2
24-1,B1,W1,없음,0:38:44,2
24-1,B1,W2,없음,0:31:29,2
24-1,B1,W3,없음,0:32:23,2
24-1,B1,W4,없음,0:27:55,2
24-1,B1,W5,없음,0:28:59,2
24-1,B1,W6,없음,0:33:04,2
24-1,B1,W7,없음,0:24:29,2
24-1,B2,W1,없음,0:39:00,2
24-1,B2,W2,없음,0:30:36,2
24-1,B2,W3,없음,0:31:00,2
24-1,B2,W4,없음,0:26:50,2
24-1,B2,W5,없음,0:28:57,2
24-1,B2,W6,없음,0:31:41,2
24-1,B2,W7,없음,0:28:28,2
24-1,B3,W1,없음,0:37:24,2
24-1,B3,W2,없음,0:34:23,2
24-1,B3,W3,없음,0:40:28,2
24-1,B3,W4,없음,0:32:21,2
24-1,B3,W5,없음,0:29:18,2
24-1,B3,W6,없음,0:31:31,2
24-1,B3,W7,없음,0:34:07,2
24-1,B4,W1,없음,0:50:13,2
24-1,B4,W2,없음,0:37:00,2
24-1,B4,W3,없음,0:32:34,2
24-1,B4,W4,없음,0:33:32,2
24-1,B4,W5,없음,0:31:17,2
24-1,B4,W6,없음,0:28:30,2
24-1,B4,W7,없음,0:30:32,2
24-1,B5,W1,없음,0:36:36,2
24-1,B5,W2,없음,0:30:25,2
24-1,B5,W3,없음,0:33:43,2
24-1,B5,W4,없음,0:31:02,2
24-1,B5,W5,없음,0:28:19,2
24-1,B5,W6,없음,0:28:47,2
24-1,B5,W7,없음,0:29:19,2
24-1,B6,W1,없음,0:43:00,2
24-1,B6,W2,없음,0:36:29,2
24-1,B6,W3,없음,0:38:52,2
24-1,B6,W4,없음,0:39:59,2
24-1,B6,W5,없음,0:34:21,2
24-1,B6,W6,없음,0:33:07,2
24-1,B6,W7,없음,0:28:50,2
24-2,A,W1,없음,0:23:46,2
24-2,A,W2,없음,0:33:40,2
24-2,A,W3,없음,0:36:03,2
24-2,A,W4,없음,0:26:14,2
24-2,A,W5,없음,0:27:08,2
24-2,C,W1,없음,0:26:35,2
24-2,C,W2,없음,0:25:46,2
24-2,C,W3,없음,0:26:37,2
24-2,C,W4,없음,0:30:11,2
24-2,C,W5,없음,0:25:37,2
24-2,D,W1,없음,0:21:41,2
24-2,D,W2,없음,0:25:54,2
24-2,D,W3,없음,0:26:35,2
24-2,D,W4,없음,0:33:33,2
24-2,D,W5,없음,0:23:28,2
24-2,F,W1,없음,0:30:20,2
24-2,F,W2,없음,0:27:13,2
24-2,F,W3,없음,0:22:50,2
24-2,F,W4,없음,0:30:21,2
24-2,F,W5,없음,0:15:48,2
24-2,G,W1,없음,0:22:19,2
24-2,G,W2,없음,0:24:19,2
24-2,G,W3,없음,0:35:23,2
24-2,G,W4,없음,0:25:35,2
24-2,G,W5,없음,0:27:33,2
23-2,A,W1,없음,0:21:23,2
23-2,A,W2,없음,0:21:06,2
23-2,A,W3,없음,0:21:00,2
23-2,A,W4,없음,0:22:00,2
23-2,B,W1,없음,0:20:17,2
23-2,B,W2,없음,0:21:34,2
23-2,B,W3,없음,0:21:30,2
23-2,B,W4,없음,0:20:45,2
23-2,C,W1,없음,0:21:45,2
23-2,C,W2,없음,0:20:53,2
23-2,C,W3,없음,0:19:50,2
23-2,C,W4,없음,0:20:41,2
23-2,D,W1,없음,0:21:55,2
23-2,D,W2,없음,0:19:50,2
23-2,D,W3,없음,0:21:14,2
23-2,D,W4,없음,0:20:47,2
23-2,E,W1,없음,0:22:45,2
23-2,E,W2,없음,0:21:28,2
23-2,E,W3,없음,0:21:41,2
23-2,E,W4,없음,0:22:01,2
23-2,F,W1,없음,0:20:41,2
23-2,F,W2,없음,0:21:09,2
23-2,F,W3,없음,0:21:07,2
23-2,F,W4,없음,0:21:41,2
23-2,G,W1,없음,0:21:44,2
23-2,G,W2,없음,0:21:38,2
23-2,G,W3,없음,0:21:18,2
23-2,G,W4,없음,0:21:14,2
